case_id,input_file,historical_txt,region,source_language,sw_i_step,ecu_count,total_dtcs,active_dtcs,primary_ecu,primary_dtc,test_type,test_environment
HIST-SYN-016,phase1_inputs/EU-FR/fr/24-10-227/Prod_Diagnostic_Extended_SYN_016.txt,historical_cases/txt/EU-FR/fr/24-10-227/HIST-SYN-016.txt,EU-FR,fr,24-10-227,24,69,17,TCU,0x7A3D,Software regression,Proving ground
HIST-SYN-017,phase1_inputs/LATAM/es/24-10-227/Prod_Diagnostic_Extended_SYN_017.txt,historical_cases/txt/LATAM/es/24-10-227/HIST-SYN-017.txt,LATAM,es,24-10-227,25,76,19,TCU,0x405D,Hot climate,HIL bench
HIST-SYN-018,phase1_inputs/BR/pt-BR/24-10-227/Prod_Diagnostic_Extended_SYN_018.txt,historical_cases/txt/BR/pt-BR/24-10-227/HIST-SYN-018.txt,BR,pt-BR,24-10-227,26,52,13,TCM,0x746E,Cold climate,Charging laboratory
HIST-SYN-019,phase1_inputs/EU-IT/it/24-10-227/Prod_Diagnostic_Extended_SYN_019.txt,historical_cases/txt/EU-IT/it/24-10-227/HIST-SYN-019.txt,EU-IT,it,24-10-227,27,59,15,BCM,0xCBD2,Network robustness,Public road profile
HIST-SYN-020,phase1_inputs/EU-PL/pl/24-10-227/Prod_Diagnostic_Extended_SYN_020.txt,historical_cases/txt/EU-PL/pl/24-10-227/HIST-SYN-020.txt,EU-PL,pl,24-10-227,24,66,16,RR_CORNER_RADAR,0xB3CE,Endurance,Workshop dynamometer
HIST-SYN-021,phase1_inputs/IN-HI/hi/24-10-227/Prod_Diagnostic_Extended_SYN_021.txt,historical_cases/txt/IN-HI/hi/24-10-227/HIST-SYN-021.txt,IN-HI,hi,24-10-227,25,73,18,EPS,0x61CB,Charging validation,Climate chamber
HIST-SYN-022,phase1_inputs/JP/ja/24-10-227/Prod_Diagnostic_Extended_SYN_022.txt,historical_cases/txt/JP/ja/24-10-227/HIST-SYN-022.txt,JP,ja,24-10-227,26,80,20,SEAT_CTRL,0xC018,Highway profile,Proving ground
HIST-SYN-023,phase1_inputs/KR/ko/24-10-227/Prod_Diagnostic_Extended_SYN_023.txt,historical_cases/txt/KR/ko/24-10-227/HIST-SYN-023.txt,KR,ko,24-10-227,27,56,14,SEAT_CTRL,0x1858,Urban profile,HIL bench
HIST-SYN-024,phase1_inputs/CN/zh-Hans/24-10-227/Prod_Diagnostic_Extended_SYN_024.txt,historical_cases/txt/CN/zh-Hans/24-10-227/HIST-SYN-024.txt,CN,zh-Hans,24-10-227,24,63,16,SEAT_CTRL,0x5CAF,Software regression,Charging laboratory
HIST-SYN-025,phase1_inputs/IN/en-IN/24-10-227/Prod_Diagnostic_Extended_SYN_025.txt,historical_cases/txt/IN/en-IN/24-10-227/HIST-SYN-025.txt,IN,en-IN,24-10-227,25,70,17,OBC,0x1DD2,Hot climate,Public road profile
HIST-SYN-026,phase1_inputs/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_026.txt,historical_cases/txt/NA/en-US/25-06-957/HIST-SYN-026.txt,NA,en-US,25-06-957,26,77,20,TCU,0x9E13,Cold climate,Workshop dynamometer
HIST-SYN-027,phase1_inputs/EU-DE/de/25-06-957/Prod_Diagnostic_Extended_SYN_027.txt,historical_cases/txt/EU-DE/de/25-06-957/HIST-SYN-027.txt,EU-DE,de,25-06-957,27,53,14,ADAS,0x510F,Network robustness,Climate chamber
HIST-SYN-028,phase1_inputs/EU-FR/fr/25-06-957/Prod_Diagnostic_Extended_SYN_028.txt,historical_cases/txt/EU-FR/fr/25-06-957/HIST-SYN-028.txt,EU-FR,fr,25-06-957,24,60,15,ADAS,0xF76D,Endurance,Proving ground
HIST-SYN-029,phase1_inputs/LATAM/es/25-06-957/Prod_Diagnostic_Extended_SYN_029.txt,historical_cases/txt/LATAM/es/25-06-957/HIST-SYN-029.txt,LATAM,es,25-06-957,25,67,16,FCAM,0x2521,Charging validation,HIL bench
HIST-SYN-030,phase1_inputs/BR/pt-BR/25-06-957/Prod_Diagnostic_Extended_SYN_030.txt,historical_cases/txt/BR/pt-BR/25-06-957/HIST-SYN-030.txt,BR,pt-BR,25-06-957,26,74,19,RR_CORNER_RADAR,0x1FEE,Highway profile,Charging laboratory
HIST-SYN-031,phase1_inputs/EU-IT/it/25-06-957/Prod_Diagnostic_Extended_SYN_031.txt,historical_cases/txt/EU-IT/it/25-06-957/HIST-SYN-031.txt,EU-IT,it,25-06-957,27,50,13,RR_CORNER_RADAR,0x485E,Urban profile,Public road profile
HIST-SYN-032,phase1_inputs/EU-PL/pl/25-06-957/Prod_Diagnostic_Extended_SYN_032.txt,historical_cases/txt/EU-PL/pl/25-06-957/HIST-SYN-032.txt,EU-PL,pl,25-06-957,24,57,14,RR_CORNER_RADAR,0xF0AC,Software regression,Workshop dynamometer
HIST-SYN-033,phase1_inputs/IN-HI/hi/25-06-957/Prod_Diagnostic_Extended_SYN_033.txt,historical_cases/txt/IN-HI/hi/25-06-957/HIST-SYN-033.txt,IN-HI,hi,25-06-957,25,64,16,EPS,0x9E07,Hot climate,Climate chamber
HIST-SYN-034,phase1_inputs/JP/ja/25-06-957/Prod_Diagnostic_Extended_SYN_034.txt,historical_cases/txt/JP/ja/25-06-957/HIST-SYN-034.txt,JP,ja,25-06-957,26,71,18,BCM,0xA431,Cold climate,Proving ground
HIST-SYN-035,phase1_inputs/KR/ko/25-06-957/Prod_Diagnostic_Extended_SYN_035.txt,historical_cases/txt/KR/ko/25-06-957/HIST-SYN-035.txt,KR,ko,25-06-957,27,78,20,BCM,0xE7A8,Network robustness,HIL bench
HIST-SYN-036,phase1_inputs/CN/zh-Hans/25-06-957/Prod_Diagnostic_Extended_SYN_036.txt,historical_cases/txt/CN/zh-Hans/25-06-957/HIST-SYN-036.txt,CN,zh-Hans,25-06-957,24,54,13,BCM,0x04B1,Endurance,Charging laboratory
HIST-SYN-037,phase1_inputs/IN/en-IN/25-06-957/Prod_Diagnostic_Extended_SYN_037.txt,historical_cases/txt/IN/en-IN/25-06-957/HIST-SYN-037.txt,IN,en-IN,25-06-957,25,61,15,GW,0x18FD,Charging validation,Public road profile
HIST-SYN-038,phase1_inputs/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_038.txt,historical_cases/txt/NA/en-US/25-06-957/HIST-SYN-038.txt,NA,en-US,25-06-957,26,68,17,ADAS,0x6DB1,Highway profile,Workshop dynamometer
HIST-SYN-039,phase1_inputs/EU-DE/de/25-06-957/Prod_Diagnostic_Extended_SYN_039.txt,historical_cases/txt/EU-DE/de/25-06-957/HIST-SYN-039.txt,EU-DE,de,25-06-957,27,75,19,ADAS,0x4324,Urban profile,Climate chamber
HIST-SYN-040,phase1_inputs/EU-FR/fr/25-06-957/Prod_Diagnostic_Extended_SYN_040.txt,historical_cases/txt/EU-FR/fr/25-06-957/HIST-SYN-040.txt,EU-FR,fr,25-06-957,24,51,13,SEAT_CTRL,0x6420,Software regression,Proving ground
HIST-SYN-041,phase1_inputs/LATAM/es/25-06-957/Prod_Diagnostic_Extended_SYN_041.txt,historical_cases/txt/LATAM/es/25-06-957/HIST-SYN-041.txt,LATAM,es,25-06-957,25,58,14,OBC,0x3BE7,Hot climate,HIL bench
HIST-SYN-042,phase1_inputs/BR/pt-BR/25-06-957/Prod_Diagnostic_Extended_SYN_042.txt,historical_cases/txt/BR/pt-BR/25-06-957/HIST-SYN-042.txt,BR,pt-BR,25-06-957,26,65,17,TCU,0x1CFD,Cold climate,Charging laboratory
HIST-SYN-043,phase1_inputs/EU-IT/it/25-06-957/Prod_Diagnostic_Extended_SYN_043.txt,historical_cases/txt/EU-IT/it/25-06-957/HIST-SYN-043.txt,EU-IT,it,25-06-957,27,72,18,TCU,0x5863,Network robustness,Public road profile
HIST-SYN-044,phase1_inputs/EU-PL/pl/25-06-957/Prod_Diagnostic_Extended_SYN_044.txt,historical_cases/txt/EU-PL/pl/25-06-957/HIST-SYN-044.txt,EU-PL,pl,25-06-957,24,79,20,TCU,0x05CB,Endurance,Workshop dynamometer
HIST-SYN-045,phase1_inputs/IN-HI/hi/25-06-957/Prod_Diagnostic_Extended_SYN_045.txt,historical_cases/txt/IN-HI/hi/25-06-957/HIST-SYN-045.txt,IN-HI,hi,25-06-957,25,55,13,TCM,0xFDDD,Charging validation,Climate chamber
HIST-SYN-046,phase1_inputs/JP/ja/25-06-957/Prod_Diagnostic_Extended_SYN_046.txt,historical_cases/txt/JP/ja/25-06-957/HIST-SYN-046.txt,JP,ja,25-06-957,26,62,16,BCM,0xBE2B,Highway profile,Proving ground
HIST-SYN-047,phase1_inputs/KR/ko/25-06-957/Prod_Diagnostic_Extended_SYN_047.txt,historical_cases/txt/KR/ko/25-06-957/HIST-SYN-047.txt,KR,ko,25-06-957,27,69,17,RR_CORNER_RADAR,0xFE5E,Urban profile,HIL bench
HIST-SYN-048,phase1_inputs/CN/zh-Hans/25-06-957/Prod_Diagnostic_Extended_SYN_048.txt,historical_cases/txt/CN/zh-Hans/25-06-957/HIST-SYN-048.txt,CN,zh-Hans,25-06-957,24,76,19,RR_CORNER_RADAR,0xB33F,Software regression,Charging laboratory
HIST-SYN-049,phase1_inputs/IN/en-IN/25-06-957/Prod_Diagnostic_Extended_SYN_049.txt,historical_cases/txt/IN/en-IN/25-06-957/HIST-SYN-049.txt,IN,en-IN,25-06-957,25,52,13,EPS,0x493B,Hot climate,Public road profile
HIST-SYN-050,phase1_inputs/NA/en-US/25-06-957/Prod_Diagnostic_Extended_SYN_050.txt,historical_cases/txt/NA/en-US/25-06-957/HIST-SYN-050.txt,NA,en-US,25-06-957,26,59,15,BCM,0x8511,Cold climate,Workshop dynamometer
HIST-SYN-051,phase1_inputs/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_051.txt,historical_cases/txt/EU-DE/de/26-07-140/HIST-SYN-051.txt,EU-DE,de,26-07-140,27,66,17,SEAT_CTRL,0xD5C9,Network robustness,Climate chamber
HIST-SYN-052,phase1_inputs/EU-FR/fr/26-07-140/Prod_Diagnostic_Extended_SYN_052.txt,historical_cases/txt/EU-FR/fr/26-07-140/HIST-SYN-052.txt,EU-FR,fr,26-07-140,24,73,18,SEAT_CTRL,0x80C4,Endurance,Proving ground
HIST-SYN-053,phase1_inputs/LATAM/es/26-07-140/Prod_Diagnostic_Extended_SYN_053.txt,historical_cases/txt/LATAM/es/26-07-140/HIST-SYN-053.txt,LATAM,es,26-07-140,25,80,20,TCU,0xC532,Charging validation,HIL bench
HIST-SYN-054,phase1_inputs/BR/pt-BR/26-07-140/Prod_Diagnostic_Extended_SYN_054.txt,historical_cases/txt/BR/pt-BR/26-07-140/HIST-SYN-054.txt,BR,pt-BR,26-07-140,26,56,14,TCU,0xF43F,Highway profile,Charging laboratory
HIST-SYN-055,phase1_inputs/EU-IT/it/26-07-140/Prod_Diagnostic_Extended_SYN_055.txt,historical_cases/txt/EU-IT/it/26-07-140/HIST-SYN-055.txt,EU-IT,it,26-07-140,27,63,16,ADAS,0x1E2E,Urban profile,Public road profile
HIST-SYN-056,phase1_inputs/EU-PL/pl/26-07-140/Prod_Diagnostic_Extended_SYN_056.txt,historical_cases/txt/EU-PL/pl/26-07-140/HIST-SYN-056.txt,EU-PL,pl,26-07-140,24,70,17,ADAS,0x9B7D,Software regression,Workshop dynamometer
HIST-SYN-057,phase1_inputs/IN-HI/hi/26-07-140/Prod_Diagnostic_Extended_SYN_057.txt,historical_cases/txt/IN-HI/hi/26-07-140/HIST-SYN-057.txt,IN-HI,hi,26-07-140,25,77,19,TCU,0x2ED3,Hot climate,Climate chamber
HIST-SYN-058,phase1_inputs/JP/ja/26-07-140/Prod_Diagnostic_Extended_SYN_058.txt,historical_cases/txt/JP/ja/26-07-140/HIST-SYN-058.txt,JP,ja,26-07-140,26,53,14,TCU,0x2E78,Cold climate,Proving ground
HIST-SYN-059,phase1_inputs/KR/ko/26-07-140/Prod_Diagnostic_Extended_SYN_059.txt,historical_cases/txt/KR/ko/26-07-140/HIST-SYN-059.txt,KR,ko,26-07-140,27,60,15,RR_CORNER_RADAR,0x4FA9,Network robustness,HIL bench
HIST-SYN-060,phase1_inputs/CN/zh-Hans/26-07-140/Prod_Diagnostic_Extended_SYN_060.txt,historical_cases/txt/CN/zh-Hans/26-07-140/HIST-SYN-060.txt,CN,zh-Hans,26-07-140,24,67,17,TCU,0x529F,Endurance,Charging laboratory
HIST-SYN-061,phase1_inputs/IN/en-IN/26-07-140/Prod_Diagnostic_Extended_SYN_061.txt,historical_cases/txt/IN/en-IN/26-07-140/HIST-SYN-061.txt,IN,en-IN,26-07-140,25,74,18,TCM,0xB0A2,Charging validation,Public road profile
HIST-SYN-062,phase1_inputs/NA/en-US/26-07-140/Prod_Diagnostic_Extended_SYN_062.txt,historical_cases/txt/NA/en-US/26-07-140/HIST-SYN-062.txt,NA,en-US,26-07-140,26,50,12,TCM,0x56B8,Highway profile,Workshop dynamometer
HIST-SYN-063,phase1_inputs/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_063.txt,historical_cases/txt/EU-DE/de/26-07-140/HIST-SYN-063.txt,EU-DE,de,26-07-140,27,57,14,BCM,0x8349,Urban profile,Climate chamber
HIST-SYN-064,phase1_inputs/EU-FR/fr/26-07-140/Prod_Diagnostic_Extended_SYN_064.txt,historical_cases/txt/EU-FR/fr/26-07-140/HIST-SYN-064.txt,EU-FR,fr,26-07-140,24,64,16,BCM,0x62FF,Software regression,Proving ground
HIST-SYN-065,phase1_inputs/LATAM/es/26-07-140/Prod_Diagnostic_Extended_SYN_065.txt,historical_cases/txt/LATAM/es/26-07-140/HIST-SYN-065.txt,LATAM,es,26-07-140,25,71,17,GW,0x8218,Hot climate,HIL bench
HIST-SYN-066,phase1_inputs/BR/pt-BR/26-07-140/Prod_Diagnostic_Extended_SYN_066.txt,historical_cases/txt/BR/pt-BR/26-07-140/HIST-SYN-066.txt,BR,pt-BR,26-07-140,26,78,20,ADAS,0x57F1,Cold climate,Charging laboratory
HIST-SYN-067,phase1_inputs/EU-IT/it/26-07-140/Prod_Diagnostic_Extended_SYN_067.txt,historical_cases/txt/EU-IT/it/26-07-140/HIST-SYN-067.txt,EU-IT,it,26-07-140,27,54,14,SEAT_CTRL,0x3AF0,Network robustness,Public road profile
HIST-SYN-068,phase1_inputs/EU-PL/pl/26-07-140/Prod_Diagnostic_Extended_SYN_068.txt,historical_cases/txt/EU-PL/pl/26-07-140/HIST-SYN-068.txt,EU-PL,pl,26-07-140,24,61,15,SEAT_CTRL,0x4699,Endurance,Workshop dynamometer
HIST-SYN-069,phase1_inputs/IN-HI/hi/26-07-140/Prod_Diagnostic_Extended_SYN_069.txt,historical_cases/txt/IN-HI/hi/26-07-140/HIST-SYN-069.txt,IN-HI,hi,26-07-140,25,68,17,OBC,0xA2A3,Charging validation,Climate chamber
HIST-SYN-070,phase1_inputs/JP/ja/26-07-140/Prod_Diagnostic_Extended_SYN_070.txt,historical_cases/txt/JP/ja/26-07-140/HIST-SYN-070.txt,JP,ja,26-07-140,26,75,19,TCU,0x6A3E,Highway profile,Proving ground
HIST-SYN-071,phase1_inputs/KR/ko/26-07-140/Prod_Diagnostic_Extended_SYN_071.txt,historical_cases/txt/KR/ko/26-07-140/HIST-SYN-071.txt,KR,ko,26-07-140,27,51,13,TCU,0x55F6,Urban profile,HIL bench
HIST-SYN-072,phase1_inputs/CN/zh-Hans/26-07-140/Prod_Diagnostic_Extended_SYN_072.txt,historical_cases/txt/CN/zh-Hans/26-07-140/HIST-SYN-072.txt,CN,zh-Hans,26-07-140,24,58,14,TCU,0xA34A,Software regression,Charging laboratory
HIST-SYN-073,phase1_inputs/IN/en-IN/26-07-140/Prod_Diagnostic_Extended_SYN_073.txt,historical_cases/txt/IN/en-IN/26-07-140/HIST-SYN-073.txt,IN,en-IN,26-07-140,25,65,16,TCM,0xF40A,Hot climate,Public road profile
HIST-SYN-074,phase1_inputs/NA/en-US/26-07-140/Prod_Diagnostic_Extended_SYN_074.txt,historical_cases/txt/NA/en-US/26-07-140/HIST-SYN-074.txt,NA,en-US,26-07-140,26,72,18,RR_CORNER_RADAR,0xFA2B,Cold climate,Workshop dynamometer
HIST-SYN-075,phase1_inputs/EU-DE/de/26-07-140/Prod_Diagnostic_Extended_SYN_075.txt,historical_cases/txt/EU-DE/de/26-07-140/HIST-SYN-075.txt,EU-DE,de,26-07-140,27,79,20,RR_CORNER_RADAR,0x60EB,Network robustness,Climate chamber
HIST-SYN-076,phase1_inputs/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_076.txt,historical_cases/txt/EU-FR/fr/26-09-310/HIST-SYN-076.txt,EU-FR,fr,26-09-310,24,55,14,RR_CORNER_RADAR,0xF8DE,Endurance,Proving ground
HIST-SYN-077,phase1_inputs/LATAM/es/26-09-310/Prod_Diagnostic_Extended_SYN_077.txt,historical_cases/txt/LATAM/es/26-09-310/HIST-SYN-077.txt,LATAM,es,26-09-310,25,62,15,EPS,0xF742,Charging validation,HIL bench
HIST-SYN-078,phase1_inputs/BR/pt-BR/26-09-310/Prod_Diagnostic_Extended_SYN_078.txt,historical_cases/txt/BR/pt-BR/26-09-310/HIST-SYN-078.txt,BR,pt-BR,26-09-310,26,69,18,SEAT_CTRL,0xA21A,Highway profile,Charging laboratory
HIST-SYN-079,phase1_inputs/EU-IT/it/26-09-310/Prod_Diagnostic_Extended_SYN_079.txt,historical_cases/txt/EU-IT/it/26-09-310/HIST-SYN-079.txt,EU-IT,it,26-09-310,27,76,19,SEAT_CTRL,0x72B6,Urban profile,Public road profile
HIST-SYN-080,phase1_inputs/EU-PL/pl/26-09-310/Prod_Diagnostic_Extended_SYN_080.txt,historical_cases/txt/EU-PL/pl/26-09-310/HIST-SYN-080.txt,EU-PL,pl,26-09-310,24,52,13,BCM,0xAF60,Software regression,Workshop dynamometer
HIST-SYN-081,phase1_inputs/IN-HI/hi/26-09-310/Prod_Diagnostic_Extended_SYN_081.txt,historical_cases/txt/IN-HI/hi/26-09-310/HIST-SYN-081.txt,IN-HI,hi,26-09-310,25,59,14,GW,0x8897,Hot climate,Climate chamber
HIST-SYN-082,phase1_inputs/JP/ja/26-09-310/Prod_Diagnostic_Extended_SYN_082.txt,historical_cases/txt/JP/ja/26-09-310/HIST-SYN-082.txt,JP,ja,26-09-310,26,66,17,ADAS,0x2B47,Cold climate,Proving ground
HIST-SYN-083,phase1_inputs/KR/ko/26-09-310/Prod_Diagnostic_Extended_SYN_083.txt,historical_cases/txt/KR/ko/26-09-310/HIST-SYN-083.txt,KR,ko,26-09-310,27,73,18,ADAS,0x4D21,Network robustness,HIL bench
HIST-SYN-084,phase1_inputs/CN/zh-Hans/26-09-310/Prod_Diagnostic_Extended_SYN_084.txt,historical_cases/txt/CN/zh-Hans/26-09-310/HIST-SYN-084.txt,CN,zh-Hans,26-09-310,24,80,20,ADAS,0x9AAE,Endurance,Charging laboratory
HIST-SYN-085,phase1_inputs/IN/en-IN/26-09-310/Prod_Diagnostic_Extended_SYN_085.txt,historical_cases/txt/IN/en-IN/26-09-310/HIST-SYN-085.txt,IN,en-IN,26-09-310,25,56,14,FCAM,0x711C,Charging validation,Public road profile
HIST-SYN-086,phase1_inputs/NA/en-US/26-09-310/Prod_Diagnostic_Extended_SYN_086.txt,historical_cases/txt/NA/en-US/26-09-310/HIST-SYN-086.txt,NA,en-US,26-09-310,26,63,16,TCU,0x04F0,Highway profile,Workshop dynamometer
HIST-SYN-087,phase1_inputs/EU-DE/de/26-09-310/Prod_Diagnostic_Extended_SYN_087.txt,historical_cases/txt/EU-DE/de/26-09-310/HIST-SYN-087.txt,EU-DE,de,26-09-310,27,70,18,TCU,0x9533,Urban profile,Climate chamber
HIST-SYN-088,phase1_inputs/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_088.txt,historical_cases/txt/EU-FR/fr/26-09-310/HIST-SYN-088.txt,EU-FR,fr,26-09-310,24,77,19,TCU,0x34F5,Software regression,Proving ground
HIST-SYN-089,phase1_inputs/LATAM/es/26-09-310/Prod_Diagnostic_Extended_SYN_089.txt,historical_cases/txt/LATAM/es/26-09-310/HIST-SYN-089.txt,LATAM,es,26-09-310,25,53,13,TCM,0x008D,Hot climate,HIL bench
HIST-SYN-090,phase1_inputs/BR/pt-BR/26-09-310/Prod_Diagnostic_Extended_SYN_090.txt,historical_cases/txt/BR/pt-BR/26-09-310/HIST-SYN-090.txt,BR,pt-BR,26-09-310,26,60,15,BCM,0x820B,Cold climate,Charging laboratory
HIST-SYN-091,phase1_inputs/EU-IT/it/26-09-310/Prod_Diagnostic_Extended_SYN_091.txt,historical_cases/txt/EU-IT/it/26-09-310/HIST-SYN-091.txt,EU-IT,it,26-09-310,27,67,17,BCM,0xEA95,Network robustness,Public road profile
HIST-SYN-092,phase1_inputs/EU-PL/pl/26-09-310/Prod_Diagnostic_Extended_SYN_092.txt,historical_cases/txt/EU-PL/pl/26-09-310/HIST-SYN-092.txt,EU-PL,pl,26-09-310,24,74,19,BCM,0x7B83,Endurance,Workshop dynamometer
HIST-SYN-093,phase1_inputs/IN-HI/hi/26-09-310/Prod_Diagnostic_Extended_SYN_093.txt,historical_cases/txt/IN-HI/hi/26-09-310/HIST-SYN-093.txt,IN-HI,hi,26-09-310,25,50,12,GW,0x4BEF,Charging validation,Climate chamber
HIST-SYN-094,phase1_inputs/JP/ja/26-09-310/Prod_Diagnostic_Extended_SYN_094.txt,historical_cases/txt/JP/ja/26-09-310/HIST-SYN-094.txt,JP,ja,26-09-310,26,57,15,BCM,0xE746,Highway profile,Proving ground
HIST-SYN-095,phase1_inputs/KR/ko/26-09-310/Prod_Diagnostic_Extended_SYN_095.txt,historical_cases/txt/KR/ko/26-09-310/HIST-SYN-095.txt,KR,ko,26-09-310,27,64,16,SEAT_CTRL,0x4D47,Urban profile,HIL bench
HIST-SYN-096,phase1_inputs/CN/zh-Hans/26-09-310/Prod_Diagnostic_Extended_SYN_096.txt,historical_cases/txt/CN/zh-Hans/26-09-310/HIST-SYN-096.txt,CN,zh-Hans,26-09-310,24,71,18,SEAT_CTRL,0x5053,Software regression,Charging laboratory
HIST-SYN-097,phase1_inputs/IN/en-IN/26-09-310/Prod_Diagnostic_Extended_SYN_097.txt,historical_cases/txt/IN/en-IN/26-09-310/HIST-SYN-097.txt,IN,en-IN,26-09-310,25,78,19,TCU,0x33CB,Hot climate,Public road profile
HIST-SYN-098,phase1_inputs/NA/en-US/26-09-310/Prod_Diagnostic_Extended_SYN_098.txt,historical_cases/txt/NA/en-US/26-09-310/HIST-SYN-098.txt,NA,en-US,26-09-310,26,54,14,TCU,0xFDE7,Cold climate,Workshop dynamometer
HIST-SYN-099,phase1_inputs/EU-DE/de/26-09-310/Prod_Diagnostic_Extended_SYN_099.txt,historical_cases/txt/EU-DE/de/26-09-310/HIST-SYN-099.txt,EU-DE,de,26-09-310,27,61,15,TCU,0x3E99,Network robustness,Climate chamber
HIST-SYN-100,phase1_inputs/EU-FR/fr/26-09-310/Prod_Diagnostic_Extended_SYN_100.txt,historical_cases/txt/EU-FR/fr/26-09-310/HIST-SYN-100.txt,EU-FR,fr,26-09-310,24,68,17,ADAS,0x6748,Endurance,Proving ground
